now,ahora
air,aire
at least,al menos
rice,arroz
bathroom,baño
smoothie,batido
each,cada
shirt,camisa
meat,carne
car,carro
house,casa
checks,cheques
edible,comestible
how,cómo
with me,conmigo
which/what,cuál
when,cuándo
how many,cuántas
how many,cuánto
bedroom,cuarto
check/bill,cuenta
birthday,cumpleaños
hard,curo
from where,de dónde
sport,deporte
breakfast,desayuno
days,dias
Sunday,Domingo
where,dónde
exercise,ejercicio
lovely,encantadora
spouse,esposo
student,estudiante
feminine,femenino
weekend,fin de semana
flowers,flores
rice with beans,gallo pinto
rooster,gallo
war,guerra
bedroom,habitación
ice cream,helado
sister,hermana
brother,hermano
daughter,hija
son,hijo
today,hoy
egg,huevo
language,idioma
important,importante
infinitive,infinitivo
Thursday,Jueves
night,la noche
afternoon,la tarde
pencil,lapíz
Monday,Lunes
Tuesday,Martes
more/much,más
masculine,masculino
month,mes
waiter,mesero
Wednesday,Miércoles
mountain,montaña
girlfriend,novia
boyfriend,novio
sentence,oracion
page,pagina
pant,pantalon
to,para
yard,patio
hair,pelo
but,pero
dog,perro
swimming pool,piscina
why,por que
per,por
next,poximo
practice,práctica
question,pregunta
what,qué
cake,queque
drink,rompope
clothes,ropa
Saturday,Sábado
watermelon,sandia
week,semana
next,sequientes
neice,sobrina
nephew,sobrino
noun,sustantivo
homework,tarea
aunt,tia
uncle,tio
everyday,todos los dias
all,todos
everyone,todos
butt,trasero
a little,un poquito
once,unavez
times,veces
vegetables,vegetales
vegetarian,vegetariana
travel,viaje
Friday,Viernes
now,ya
dog,perro
grandfather,abuelo
grandmother,abuela 
mother,madre
father,padre
apple,manzana
banana,platano
